date,open,high,low,close,volume,amount,turn,ma20
2023-07-05,3895.1945,3899.5188,3864.1301,3868.8054,9763638400,188400265050.6000,0.321257,3862.83554
2023-07-06,3857.0304,3876.8901,3836.4573,3842.7547,10012184200,184742420862.3000,0.329420,3864.56513
2023-07-07,3831.5955,3844.8438,3819.0772,3825.6988,10090692000,173918560673.0000,0.331981,3866.38298
2023-07-10,3841.5591,3865.4566,3831.9200,3844.3269,9203344100,185360813110.7000,0.302771,3867.5899899999995
2023-07-11,3853.7955,3870.6549,3844.5244,3869.4861,8651071600,177585694368.3000,0.284602,3869.2291649999997
2023-07-12,3864.6013,3874.0403,3838.5632,3843.4369,11152202400,214046519056.1000,0.366609,3869.1793900000002
2023-07-13,3855.6620,3901.1023,3855.6620,3898.4229,12030023200,235278706834.5000,0.395195,3870.8551649999995
2023-07-14,3904.6033,3908.4871,3893.7862,3899.1027,12236484600,220230466522.9000,0.401977,3872.6090649999996
2023-07-17,3881.6225,3881.6225,3852.2626,3867.1749,9834014400,174623552807.4000,0.322785,3869.6928399999997
2023-07-18,3871.0444,3871.0444,3844.5129,3854.9393,9143861500,167104315117.1000,0.300017,3864.2722599999993
2023-07-19,3848.4826,3860.0092,3830.4073,3850.8663,7958570000,151311481029.8000,0.261120,3860.2701800000004
2023-07-20,3857.7725,3875.6241,3818.7134,3823.6946,9204207600,174320872139.8000,0.301990,3855.2430250000007
2023-07-21,3816.9835,3849.5109,3808.8030,3821.91,7950756300,157144211209.3000,0.260864,3853.1369099999997
2023-07-24,3803.3492,3828.7853,3798.8048,3805.221,7548354500,151448369566.2000,0.247660,3852.9131499999994
2023-07-25,3866.6445,3915.8148,3866.6445,3915.1153,16306632000,299853562168.1000,0.535001,3856.397245
2023-07-26,3908.1740,3912.9834,3893.3987,3907.0128,10788171700,192912604792.0000,0.353945,3859.7079550000003
2023-07-27,3914.2298,3935.3578,3894.6923,3902.3458,11066710900,196845425513.0000,0.363027,3863.7330699999998
2023-07-28,3889.7929,4000.9190,3886.5535,3992.7376,17973548100,310092467404.5000,0.589595,3871.24737
2023-07-31,4018.8895,4064.3621,4002.0784,4014.6301,19960683000,366544120003.6000,0.654776,3877.33477
