code,name,trigger_date,buy_date,sell_date,profit_pct,hold_days,exit_reason
600107,600107_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,0.08927648578811119,7,移动止盈
600231,600231_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,0.06463414634147192,9,移动止盈
002837,002837_data,2019-02-11 00:00:00,2019-02-12,2019-02-21 00:00:00,-0.18870967741934874,9,移动止盈
601992,601992_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-0.1981012658227903,9,移动止盈
002848,002848_data,2019-02-12 00:00:00,2019-02-13,2019-02-21 00:00:00,-0.2729122055674413,8,移动止盈
002167,002167_data,2019-03-05 00:00:00,2019-03-06,2019-03-11 00:00:00,-0.37587322121603856,5,移动止盈
002354,002354_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,-0.4397196261682145,5,移动止盈
600356,600356_data,2019-02-21 00:00:00,2019-02-22,2019-03-06 00:00:00,-0.7559539918809116,12,移动止盈
002326,002326_data,2019-02-13 00:00:00,2019-02-14,2019-03-08 00:00:00,-0.7851107756515476,22,移动止盈
600775,600775_data,2019-02-12 00:00:00,2019-02-13,2019-02-20 00:00:00,-0.9112366230677781,7,移动止盈
600512,600512_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-0.9513986013985972,9,移动止盈
000498,000498_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-1.1071189279731903,9,移动止盈
600686,600686_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-1.1343137254901916,9,移动止盈
002545,002545_data,2019-02-25 00:00:00,2019-02-26,2019-03-08 00:00:00,-1.216310160427807,10,移动止盈
002032,002032_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-1.2678035497704938,9,移动止盈
600874,600874_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-1.2807359307359338,9,移动止盈
002518,002518_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,-1.3001915708812235,5,移动止盈
002576,002576_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-1.3330508474576392,9,移动止盈
603609,603609_data,2019-03-04 00:00:00,2019-03-05,2019-03-11 00:00:00,-1.4096491228070254,6,移动止盈
603680,603680_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-1.490828402366854,9,移动止盈
002130,002130_data,2019-02-25 00:00:00,2019-02-26,2019-03-04 00:00:00,-1.5665898617511411,6,移动止盈
603828,603828_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,-1.847890295358644,5,移动止盈
000609,000609_data,2019-02-25 00:00:00,2019-02-26,2019-03-08 00:00:00,-1.9099999999999913,10,移动止盈
002063,002063_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,-2.089975698663429,7,移动止盈
000058,000058_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,-2.5999999999999965,7,移动止盈
002313,002313_data,2019-02-22 00:00:00,2019-02-23,2019-03-05 00:00:00,-2.6359375000000016,8,移动止盈
603903,603903_data,2019-02-26 00:00:00,2019-02-27,2019-03-14 00:00:00,-2.6853711790392887,15,移动止盈
002453,002453_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,-2.821494607087829,8,移动止盈
002329,002329_data,2019-02-26 00:00:00,2019-02-27,2019-03-14 00:00:00,-2.838479262672803,15,移动止盈
600210,600210_data,2019-02-25 00:00:00,2019-02-26,2019-03-05 00:00:00,-2.8637614678899164,7,移动止盈
002577,002577_data,2019-02-14 00:00:00,2019-02-15,2019-02-20 00:00:00,-2.956896551724142,5,移动止盈
601179,601179_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-3.0928571428571368,9,移动止盈
601002,601002_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,-3.205105455143849,9,移动止盈
600495,600495_data,2019-02-26 00:00:00,2019-02-27,2019-03-04 00:00:00,-3.219888475836429,5,移动止盈
002238,002238_data,2019-02-21 00:00:00,2019-02-22,2019-02-27 00:00:00,-3.483501259445857,5,移动止盈
002227,002227_data,2019-02-13 00:00:00,2019-02-14,2019-02-21 00:00:00,-3.938050314465412,7,移动止盈
603538,603538_data,2019-02-12 00:00:00,2019-02-13,2019-02-21 00:00:00,-4.068811881188105,8,移动止盈
002429,002429_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,-4.245910780669146,5,移动止盈
000055,000055_data,2019-02-25 00:00:00,2019-02-26,2019-03-11 00:00:00,-4.625862068965512,13,移动止盈
002127,002127_data,2019-02-25 00:00:00,2019-02-26,2019-03-08 00:00:00,-4.676833797585881,10,移动止盈
600909,600909_data,2019-02-25 00:00:00,2019-02-26,2019-03-04 00:00:00,-5.117203513909219,6,移动止盈
603618,603618_data,2019-02-22 00:00:00,2019-02-23,2019-03-08 00:00:00,-5.2151851851851765,11,移动止盈
002797,002797_data,2019-02-25 00:00:00,2019-02-26,2019-03-04 00:00:00,-5.217591424968476,6,移动止盈
002051,002051_data,2019-03-18 00:00:00,2019-03-19,2019-03-26 00:00:00,-6.3925531914893625,7,移动止盈
601375,601375_data,2019-02-25 00:00:00,2019-02-26,2019-03-04 00:00:00,-6.568602155782085,6,移动止盈
603999,603999_data,2019-02-25 00:00:00,2019-02-26,2019-03-04 00:00:00,-8.349999999999989,6,移动止盈
000783,000783_data,2019-02-25 00:00:00,2019-02-26,2019-03-04 00:00:00,-8.349999999999998,6,移动止盈
